IMDB ID,Title,Year,IMDB Rating,themoviedb Rating
tt0409459,Watchmen,2009,7.6,6.7
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,7.6,6.9
tt2103281,Dawn of the Planet of the Apes,2014,7.6,7.5
tt0082694,Mad Max 2: The Road Warrior,1981,7.6,7
tt1951264,The Hunger Games: Catching Fire,2013,7.6,7.5
tt0289043,28 Days Later...,2002,7.6,6.8
tt1244666,Fish Story,2009,7.6,6.2
tt0113799,Memories,1995,7.6,7.3
tt0347246,Ghost in the Shell 2: Innocence,2004,7.6,7.2
tt0169880,Neon Genesis Evangelion: Death & Rebirth,1997,7.6,6.6
tt1474276,Summer Wars,2009,7.6,7.3
tt0176694,The Tragedy of Man,2011,7.6,10
tt0054387,The Time Machine,1960,7.6,7.5
tt0096754,The Abyss,1989,7.6,6.8
tt0083162,The Mysterious Castle in the Carpathians,1981,7.6,5.8
tt0084649,The Secret of NIMH,1982,7.6,7
tt3819668,Dragon Ball Z: Resurrection 'F',2015,7.6,7.1
tt0080772,Galaxy Express 999,1979,7.6,6.2
tt2395427,Avengers: Age of Ultron,2015,7.6,7.5
tt0040068,Abbott and Costello Meet Frankenstein,1948,7.6,7.7
tt1318514,Rise of the Planet of the Apes,2011,7.6,6.8
tt0024188,Island of Lost Souls,1932,7.6,6.4
tt0208502,Angel's Egg,1985,7.6,7
tt0124770,Patlabor 2: The Movie,1993,7.6,6.4
tt0095244,Gorod Zero,1989,7.6,5
tt0117731,Star Trek: First Contact,1996,7.6,6.7
tt1715210,Time of Eve,2010,7.5,7.7
tt0047034,Godzilla,1954,7.5,6.3
tt0093870,RoboCop,1987,7.5,6.6
tt0238380,Equilibrium,2002,7.5,6.9
tt0091064,The Fly,1986,7.5,6.7
tt0052374,The Fabulous World of Jules Verne,1958,7.5,6.8
tt0094371,Mirror for a Hero,1988,7.5,4.4
tt1372301,Technotise: Edit & I,2009,7.5,6.8
tt0084315,Time Masters,1982,7.5,6.5
tt3864024,Lazer Team,2015,7.4,3.1
tt1483797,Redline,2009,7.5,6.9
tt0142242,Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,7.5,7.2
tt1371111,Cloud Atlas,2012,7.5,6.4
tt0100802,Total Recall,1990,7.5,6.6
tt0163494,Space Adventure Cobra,1982,7.5,5.9
tt0290334,X2,2003,7.5,6.6
tt0945513,Source Code,2011,7.5,6.9
tt2317127,Sync,2012,7.5,10
tt0142250,Dragon Ball: The Path to Power,1996,7.5,5.9
tt0047930,A Journey to the Beginning of Time,1955,7.5,6.6
tt0212712,2046,2004,7.5,6.5
tt0159509,Kid̫ senshi Gandamu,1981,7.5,6
tt0117128,Mystery Science Theater 3000: The Movie,1996,7.5,7
