Rank	IMDB ID	Title	Year	Rating
126	tt0060955	Seconds	1966	7.7
127	tt0050539	The Incredible Shrinking Man	1957	7.7
128	tt0112682	The City of Lost Children	1995	7.7
129	tt0229664	Princes and Princesses	2000	7.7
130	tt2044863	Starship	2011	7.7
131	tt0142243	Dragon Ball Z: Wrath of the Dragon	1995	7.7
132	tt0091759	Dead Man's Letters	1986	7.7
133	tt0462600	A Texas Tale of Treason	2006	7.7
134	tt0088334	Urusei Yatsura 2: Beautiful Dreamer	1984	7.7
135	tt0181689	Minority Report	2002	7.7
136	tt0024184	The Invisible Man	1933	7.7
137	tt3278680	Star Wars: The Force Unleashed	2013	7.6
138	tt0119116	The Fifth Element	1997	7.7
139	tt0409459	Watchmen	2009	7.6
140	tt0121766	Star Wars: Episode III - Revenge of the Sith	2005	7.6
141	tt2103281	Dawn of the Planet of the Apes	2014	7.6
142	tt0082694	Mad Max 2: The Road Warrior	1981	7.6
143	tt1951264	The Hunger Games: Catching Fire	2013	7.6
144	tt0289043	28 Days Later...	2002	7.6
145	tt1244666	Fish Story	2009	7.6
146	tt0113799	Memories	1995	7.6
147	tt0347246	Ghost in the Shell 2: Innocence	2004	7.6
148	tt1869438	Funky Koval	2011	7.6
149	tt1196334	After Last Season	2009	7.6
150	tt0169880	Neon Genesis Evangelion: Death & Rebirth	1997	7.6
151	tt1474276	Summer Wars	2009	7.6
152	tt0176694	The Tragedy of Man	2011	7.6
153	tt0033317	Adventures of Captain Marvel	1941	7.6
154	tt3981396	The Forsaken Pages	2015	7.6
155	tt0054387	The Time Machine	1960	7.6
156	tt0096754	The Abyss	1989	7.6
157	tt0083162	The Mysterious Castle in the Carpathians	1981	7.6
158	tt0084649	The Secret of NIMH	1982	7.6
159	tt3819668	Dragon Ball Z: Resurrection 'F'	2015	7.6
160	tt0080772	Galaxy Express 999	1979	7.6
161	tt4038414	Astraea	2015	7.4
162	tt3498620	Ezekiel's Landing	2015	7.6
163	tt2395427	Avengers: Age of Ultron	2015	7.6
164	tt0040068	Abbott and Costello Meet Frankenstein	1948	7.6
165	tt1318514	Rise of the Planet of the Apes	2011	7.6
166	tt0024188	Island of Lost Souls	1932	7.6
167	tt0208502	Angel's Egg	1985	7.6
168	tt0124770	Patlabor 2: The Movie	1993	7.6
169	tt0095244	Gorod Zero	1989	7.6
170	tt0117731	Star Trek: First Contact	1996	7.6
171	tt1715210	Time of Eve	2010	7.5
172	tt0047034	Godzilla	1954	7.5
173	tt0093870	RoboCop	1987	7.5
174	tt2196746	C.O.O.L.I.O Time Travel Gangster	2014	7.5
175	tt0238380	Equilibrium	2002	7.5
176	tt0091064	The Fly	1986	7.5
177	tt0052374	The Fabulous World of Jules Verne	1958	7.5
178	tt0094371	Mirror for a Hero	1988	7.5
179	tt1372301	Technotise: Edit & I	2009	7.5
180	tt0084315	Time Masters	1982	7.5
181	tt3864024	Lazer Team	2015	7.4
182	tt1483797	Redline	2009	7.5
