Name,Yelp_stars,Yelp_review,Instagram_checkin
5801 Video Lounge and Café,3.5,50,7
Spak Brothers Pizza and More,4.0,151,13
Red Oak Cafe,4.0,116,13
Birmingham Bridge Tavern,4.5,35,2
China Star,3.0,41,6
Cafe On The Strip,3.0,31,14
Dinette,3.5,117,1
Cafe On Main,4.0,47,6
Chipotle Mexican Grill,3.5,33,9
Yokoso Japanese Steakhouse,3.0,84,5
Café Raymond,4.5,67,1
Coal Hill Steakhouse at Grandview Saloon,2.0,25,1
Penn Ave Fish Company,4.5,193,3
Indian Spices,3.5,44,7
Bigham Tavern,4.0,96,4
Primanti Bros,3.0,104,7
Bella Notte,3.5,76,7
Cafe Milano,3.5,46,2
Hokkaido Seafood Buffet,3.5,142,10
Moe's Southwest Grill,3.0,34,5
Yo Rita,3.5,127,10
Dormont Dogs,4.5,39,17
Smiling Banana Leaf,4.0,306,13
Cocina Mendoza,3.5,42,3
Popeyes Kitchen Louisiana,3.5,12,1
Pusadee's Garden,4.0,183,8
Blue Dust,4.5,94,13
Avenue B,4.0,158,8
Bellevue Diner,3.5,10,2
Frank's Pizza & Chicken,3.0,11,3
Qdoba Mexican Grill,3.0,14,8
Le Mont,3.5,104,3
Walnut Grill,3.0,42,4
Sidelines Bar & Grill,4.0,49,8
Luma Restaurant,4.0,45,3
Station Street Hot Dogs,3.5,101,14
Mendoza Express,4.0,24,3
Cornerstone Restaurant & Bar,3.0,66,9
Pittsburgh Sports Bar & Grill,3.5,10,15
Tokyo Japanese Steak House,3.5,11,4
Bella Vista,3.5,34,6
Cherries Diner,3.0,27,13
Il Burloni La Pizza E Cucina,4.0,23,6
Café Cravings,4.0,17,10
Scoglio's Greentree,4.0,11,1
Fredos Deli,4.5,19,7
Wild Rosemary,4.5,30,1
Eat'n Park Restaurant,3.5,20,15
Packs & Dogs,4.0,52,2
Brookline Pub,3.5,15,1
Doughboy's Pizza,4.0,21,7
Bistro To Go,4.0,32,15
Las Palmas Carniceria,4.5,148,2
Braddock's Pittsburgh Brasserie,3.5,95,3
Hot Franks,4.5,12,7
Molly's Pizza,3.5,22,2
E2,4.0,176,2
Tin Front Cafe,4.0,82,8
Sharp Edge,3.5,189,1
La Gourmandine Bakery & Pastry Shop,4.5,257,1
Tavern 245,3.5,46,9
Fazio's Pizza,4.0,32,5
The Mintt,3.5,74,5
Genoa Pizza & Bar,3.0,20,2
Thai Suan Thip,4.0,29,19
Tavern 51,4.5,10,2
Salt of the Earth,4.0,268,2
Brasserie 33,3.0,76,11
Pho Van,3.5,115,12
SLICE on Broadway,4.0,57,13
IHOP,2.5,38,1
Penn Avenue Fish Company,4.0,80,1
Pi Coal Fired Pizza,3.5,25,1
Kaleidoscope Café,4.0,118,9
Someone Else's Bar,4.0,32,1
Burgatory,4.0,377,11
Park Bruges,4.0,196,9
Bite Bistro,4.0,15,2
Local Bar + Kitchen,3.5,121,1
Black Bean Cuban Cuisine,3.5,20,2
Tilted Kilt Pub & Eatery,2.0,82,13
BFG Café,4.0,21,10
Szmidt's Old World Deli,4.5,88,15
Kabob-G Grill,4.5,25,9
The BeerHive,3.5,53,14
Cibo,3.0,21,14
Rockefeller's Grille,3.5,17,2
Pamela's Upstreet Diner,4.0,89,9
Osteria 2350,3.5,37,6
Riviera Pizza & Pasta,3.0,19,1
Carmi Family Restaurant,4.0,83,2
Park Place Pub,2.5,24,7
E Town Bar and Grille,4.5,17,1
Ephesus Pizza,3.5,26,1
Mad Mex - Shadyside,3.5,199,9
The Dream BBQ,4.0,16,1
Eden,4.5,108,2
Caffe Mona la bistro,3.5,79,8
The Porch at Schenley,3.5,319,10
La Cucina Flegrea,3.5,21,1
Nobby's Pizzeria,3.0,11,1
James Street Gastropub & Speakeasy,3.5,167,13
Cure,4.0,270,1
Noodles & Company,3.0,50,14
K & T's Fish and Chicken,3.0,12,1
Cafe Delhi,4.0,73,10
Johnny's Diner,4.0,10,1
Industry Public House,3.5,306,5
Aladdin's Eatery,4.0,37,1
Riley's Pour House,4.0,33,7
China Buffet King,2.5,14,11
Katana,3.5,83,11
Walnut Grill,3.0,58,2
Chipotle Mexican Grill,3.0,17,10
Las Palmas,4.5,104,3
Ginza,4.0,72,2
Steel Cactus,2.5,159,9
City Cafe,3.0,62,16
Sushi Fuku,4.0,98,13
Lola Bistro,4.0,34,16
Crust! Cafe and Pizzeria,3.5,17,2
Chakh Le India,4.0,15,1
Cinco,3.5,43,15
El Burro,4.0,92,1
Waffles Incaffeinated,4.0,218,13
BZ's Bar and Grill,3.5,80,5
Tan Lac Vien,4.0,117,12
Casa Rasta,3.5,103,1
Gaucho Parrilla Argentina,4.5,638,9
Cavo Nightclub,3.5,32,5
Hello Bistro,4.0,52,2
Thai Hana,3.0,68,9
I Tea Cafe,3.5,36,9
Casa Reyna,3.5,132,10
Tavern In The Wall,3.5,10,1
The Summit,4.5,46,9
Crazy Mocha Coffee,3.0,12,3
Jamison's On West Liberty,4.5,11,8
Forbes Gyro,3.0,25,14
Grandma B's,5.0,10,1
Sienna Mercato,4.0,344,5
The Pub Chip Shop,4.5,121,13
El Milagro,4.5,25,3
Dorothy 6 Blast Furnace Cafe,4.0,56,11
Kavsar Restaurant,4.0,47,8
Gus' Cafe,3.5,73,6
Grit & Grace,4.0,206,14
San Lorenzo Ristorante,4.0,24,13
Chipotle Mexican Grill,3.5,29,12
Amazing Cafe,5.0,47,8
Winghart's Burger & Whiskey Bar,3.0,22,6
Rasta House,4.0,12,14
Dive Bar & Grill,4.0,55,1
Cerasoli Pizzeria,2.5,11,2
Thai Tamarind,3.5,29,19
Everest Ethnic Restaurant,3.5,14,7
Istanbul Sofra,4.5,137,4
Burgatory,4.0,153,1
Old Town Buffet,3.0,29,12
Bama's Southern Kitchen,4.5,18,1
Thai Hana Restaurant,3.5,10,2
One Thirty One East,4.5,44,9
Fairway Grille,3.0,13,7
Mandy's Pizza,3.0,29,7
Five Guys Burgers and Fries,3.5,10,9
The Scoop,4.5,12,12
Jade Grille,4.5,84,1
Chick'n Bubbly,3.5,63,16
Casa Rasta,2.5,22,8
Hog's Head Bar & Grill,5.0,28,7
Bea Taco Town,4.5,37,14
BnD'z Burgerz & Dogz,3.0,26,6
Olio Trattoria,3.5,12,8
Vicino,3.5,13,1
Bill's Bar & Burger,3.0,73,1
Beta Bites,3.5,13,15
Mezbaan Indian Cuisine,2.5,10,1
The Twisted Frenchman,4.5,36,14
Wing Stop,4.0,13,1
Perspolis Hookah Lounge,5.0,10,2
Pallantia Tapas Y Paella,4.0,23,15
Station,4.0,73,2
Bakn,4.0,55,11
Pints On Penn,4.0,42,1
Pazzo,2.5,15,1
Vue 412,3.5,28,6
Umbrella Cafe,5.0,14,16
The Crack'd Egg,4.0,11,1
Prairie,3.5,13,1
